,,,,,,,,,,,,NEW EFFICACY,,,,,,,,,,,,,,,,,,EFFICACY,,,,,,,,,,,,,,,,,,ESTIMATED EFFICACY,,,,,,,,,,,,,,,,,,IMPACT,,,,,,,,,,,,,,,,,,,,,,,,Efficacy,,,,,,,,Estimated Efficacy,,,,,,,,Impact,,,,,,,,,OVERALL IMPACT,,,,,,(thousands),,Country,WHO Region,,,,Region,Country,Year,% febrile children under 5 receiving any antimalarial treatment,% febrile children under 5 receiving ACT only ,Source,,,REGION AVERAGE ,
Country,WHO Region,Population,1st Line (p.falc.),% febrile children under 5 receiving any antimalarial treatment  ,% febrile children under 5 receiving ACT only ,DALY,Prevalence,% p. falc.,Estimated p. falc. DALY,Estimated p. falc. prevalence (prevalence * % p. falc),# p. falc. treated,AL,AL+PQ,AM,ART+NQ,ART+PPQ,AS+AQ,AS+MQ,AS+MQ+PQ,AS+SP,AS+SP+PQ,AT+PG,CQ+PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,QN,QN+CL,QN+D,AL,AL+PQ,AM,ART+NQ,ART+PPQ,AS+AQ,AS+MQ,AS+MQ+PQ,AS+SP,AS+SP+PQ,AT+PG,CQ+PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,QN,QN+CL,QN+D,AL,AL+PQ,AM,ART+NQ,ART+PPQ,AS+AQ,AS+MQ,AS+MQ+PQ,AS+SP,AS+SP+PQ,AT+PG,CQ+PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,QN,QN+CL,QN+D,AL,AL+PQ,AM,ART+NQ,ART+PPQ,AS+AQ,AS+MQ,AS+MQ+PQ,AS+SP,AS+SP+PQ,AT+PG,CQ+PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,QN,QN+CL,QN+D,IMPACT of P.falc,1st Line (p.vivax.),% p. vivax,Est p. vivax. DALY,Est p. vivax. prevalence,p. vivax treatment coverage,CQ+PQ,CQ,DHA-PPQ,AL,QN,AS+AQ+PQ,AL+PQ,AS+AQ,CQ+PQ,CQ,DHA-PPQ,AL,QN,AS+AQ+PQ,AL+PQ,AS+AQ,CQ+PQ,CQ,DHA-PPQ,AL,QN,AS+AQ+PQ,AL+PQ,AS+AQ,IMPACT of P.VIVAX,,Company,Drug(s),Final Impact,,,2013,,,,% p. vivax,,data.unicef.org,AFR,Democratic Republic of the Congo,2013,,17.00%,DHS_2013,,REGION, receiving any antimalarial treatment  ,5 receiving ACT only 
,,,* = NO P.FALC. 1ST / 2ND LINE FOR THIS COUNTRY,"UNICEF global databases 2015 based on DHS, MICS, Malaria Indicator Surveys (MIS) and other national household surveys.","UNICEF global databases 2015 based on DHS, MICS, Malaria Indicator Surveys (MIS) and other national household surveys.",,,,,Col H * Col I,Col F * Col K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Col BO + Col BP+ Col BQ+ Col BR+ Col BS + Col BT + Col BU + Col BV + Col BW + Col BX + Col BY + Col BZ + Col CA + Col CB + Col CC + Col CD + Col CE + Col CF,* = NO P.FALC. 1ST / 2ND LINE FOR THIS COUNTRY,, Col G* ColCI, Col H* ColCI,,,,,,,,,,,,,,,,,,,,,,,,,, Col CJ* ColCL* ColCU/(1- ColCL* ColCU),, ,,,,,,,,,,,,AFR,Gambia,2013,6.70%,38.00%,DHS_2013,,AFR,22.64%,50.38%
Angola,AFR,25998340,AL,22.64%,50.38%,"912,400.00","1,999,868.00",100.00%,"912,400.00","1,999,868.00","1,007,625.80",,,,,,,,,,,,,,,,,,,93.50%,,,,,98.80%,,,98.80%,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,#DIV/0!,,,#DIV/0!,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,*,0%,0.00,0.00,22.64%,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Pfizer,D ,0,,Argentina,0.1,,Anguilla,AMR,,,,AFR,Sierra Leone,2013,48.30%,77.00%,DHS_2013,,Used in column H,,
Anguilla,AMR,13864,,16.43%,50.38%,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,#DIV/0!,,,#DIV/0!,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,16.43%,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Public Sector,AS+MQ,0.00,,Armenia,0,,Antigua and Barbuda,AMR,,,,AFR,Togo,2013,,50.00%,DHS_2013,,Country,Malaria - number of reported confirmed cases,
Antigua and Barbuda,AMR,97824,,16.43%,50.38%,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,#DIV/0!,,,#DIV/0!,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,16.43%,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Artepharm,ART+PPQ,0.00,,Australia,0,,Argentina,AMR,0,,,AFR,Zambia,2013,,90.00%,DHS_2013,,Afghanistan,"39,263.00",
Argentina,AMR,42539925,AL+PQ,16.43%,50.38%,100.00,0.00,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,#DIV/0!,,,#DIV/0!,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,CQ+PQ,0%,0.00,0.00,16.43%,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Guilin Pharmaceutical Co., Ltd",AM,0.00,,Austria,0,,Armenia,EUR,,,WMR2016ANNEX,AFR,Burundi,2013,,69.00%,DHS_2013,,Algeria,0.00,
Armenia,EUR,2893509,*,16.43%,50.38%,0.00,,0.00%,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,#DIV/0!,,,#DIV/0!,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,,,0.00,0.00,16.43%,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,GlaxoSmithKline,AT+PG,0.00,,Azerbaijan,0,,Aruba,AMR,,,,AFR,Mali,2013,22.50%,17.00%,DHS_2013,,Angola,"1,999,868.00",
Aruba,AMR,103187,,16.43%,50.38%,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,#DIV/0!,,,#DIV/0!,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,16.43%,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Total,,0.00,,Bahrain,0,,Australia,WPR,,,,EMR,Pakistan,2013,3.40%,,DHS 2012-2013,,Argentina,0.00,
Australia,WPR,23117353,,2.60%,50.38%,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,#DIV/0!,,,#DIV/0!,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,2.60%,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Legend,,,,Bangladesh,9.5,,Austria,EUR,,,,WPR,Philippines,2013,0.10%,,DHS_2013,,Armenia,,
Austria,EUR,8479375,,16.43%,50.38%,0.00,,0.00%,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,#DIV/0!,,,#DIV/0!,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,16.43%,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Drug Abbreviation,Drug Name,Source,,Barbados,0,,Azerbaijan,EUR,0,,,AFR,Senegal,2013,6.20%,,Continuous DHS 2012-2013,,Azerbaijan,0.00,
Azerbaijan,EUR,9416801,AS+SP,16.43%,50.38%,0.00,0.00,0.00%,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,#DIV/0!,,,#DIV/0!,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,CQ+PQ,0%,0.00,0.00,16.43%,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AL,artemether-lumefantrine,https://docs.google.com/file/d/0B4yRDNEDbQfwN2JiMmY4NWQtYTIyNi00NTAyLTljYzYtOTY2ZDZjMWM5M2Nl/edit,,Belarus,0,,Bahamas,AMR,,,,WPR,Vanuatu,2013,5.10%,,DHS_2013,,Bahamas,,
Bahamas,AMR,377240,,16.43%,50.38%,,,0.00%,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,#DIV/0!,,,#DIV/0!,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,16.43%,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AM,artemether,,,Belgium,0,,Bahrain,EMR,,,,EMR,Yemen,2013,1.20%,,DHS_2013,,Bangladesh,"3,864.00",
