,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,,,Malaria,HIV,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,,,,Worms,Schistosomiasis,,Onchocerciasis,,LF,,,Total,
Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,AL,AL+PQ,AM,ART+NQ,ART + PPQ,AS + AQ,AS+MQ,AS + MQ + PQ,AS + SP,AS + SP + PQ,AT + PG,CQ + PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,QN,CL,D,Total Impact (p.falc),CQ + PQ,CQ,DHA-PPQ,QN,AL,AL+PQ,AS,AS + AQ,AS + AQ + PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Impact of ATV/r,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Ivermectin,Total Impact,Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,,
Drug,"isoniazid (H or INH), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (H or INH), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S or STR+Lfx+Eto+Cs+PAS,S or STR+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Armenia,178.39,"5,102.89",46.52,3.65,41.03,6.95,"5,379.43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,0.01,3.89,0.01,2.85,2.46,0.93,0.22,6.17,2.11,0,26.57, , , , , , , , ,0,0,0,0,,0,,0,,,0,"5,405.99","5,347.64"
 Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,0,0,0,0,,0,,0,,,0,0,0
 Australia,38.83,"2,082.06",1.89,0.61,5.23,0.45,"2,129.07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.13,0.04,7.02,0.03,5.1,4.27,1.59,0.38,11.1,3.62,0,47.28, , , , , , , , ,0,0,0,0,,0,,0,,,0,"2,176.35","2,128.52"
 Austria,135.65,"1,288.76",0.77,0.08,0.73,0.72,"1,426.71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,0,0,0,0,,0,,0,,,0,"1,426.71","1,425.82"
 Azerbaijan,330.43,"29,356.63",440.24,15.81,369.07,77.39,"30,589.57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0.06,15.27,0.06,11.2,9.62,3.61,0.86,24.22,8.22,0,104.11, , , , , , , , ,0,0,0,0,,0,,0,,,0,"30,693.68","29,924.34"
 Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,0,0,0,0,,0,,0,,,0,0,0
 Bahrain,24.34,476.79,0,0,0,0.09,501.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,0.01,1.03,0,0.74,0.62,0.23,0.06,1.62,0.52,0,6.89, , , , , , , , ,0,0,0,0,,0,,0,,,0,508.1,501.21
 Bangladesh,"11,122.74","464,203.90",0,0,0,"1,197.49","476,524.13","1,625.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,625.00",237.61,0,0,0,0,0,0,0,0,237.61,"1,862.61",38.25,0.54,19.85,0.1,13.38,10.8,3.66,1.03,30.21,8.34,0,126.16,697.36, , ,231.86, ,46.55, , ,697.36,231.86,46.55,975.78,,0,,0,5.13,,5.13,"479,493.80","476,524.13"
 Barbados,193.28,0,0,0,0,0.34,193.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92,0.84,5.11,0.01,0.14,6.57,1.69,1.45,1.29,4.59,1.23,31.86, , , , , , , , ,0,0,0,0,,0,,0,,,0,225.48,193.62
 Belarus,632.12,"16,544.80","1,524.91",48.61,534.08,109.1,"19,393.62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.51,0.35,91.82,0.35,67.36,58,21.8,5.19,145.64,49.61,0,626.64, , , , , , , , ,0,0,0,0,,0,,0,,,0,"20,020.26","19,393.62"
