,,,,,,,,,,,,,,,,,NEW Efficacy,,,,,,,,,,,,,,Efficacy,,,,,Estimated Efficacy,,,,,,,,,,,,,,Impact,,,,,,,,,,,,,,,,,,,,,Efficacy,,,,,,,Estimated Efficacy,,,,,,,Impact,,,,,,,,OVERALL IMPACT,,,,,,,,,,,,,,,,,,,,,,Region,Country,Year,% febrile children under 5 receiving any antimalarial treatment,% febrile children under 5 receiving ACT only ,Source,,,REGION AVERAGE ,
Country,WHO Region,Population,1st Line (p.falc.),% febrile children under 5 receiving any antimalarial treatment  ,% febrile children under 5 receiving ACT only ,DALY,Prevalence,% p. falc.,Estimated p. falc. DALY,Estimated p. falc. prevalence (prevalence * % p. falc),# p. falc. treated,# Treated by AL,# Treated by AS+SP,# Treated by DHA-PPQ,# Treated by AS+MQ,# Treated by AS+AQ,AL,AS+SP,DHA-PPQ,AS+MQ,AS+AQ,CQ+PQ,AL+PQ,QN+CL,DHA-PPQ+PQ,ART+NQ,ART+PPQ,QN+D,SP,AS+MQ+PQ,AL,AS+SP,DHA-PPQ ,AS+MQ,AS+AQ,AL,AS+SP,DHA-PPQ,AS+MQ,AS+AQ,CQ+PQ,AL+PQ,QN+CL,DHA-PPQ+PQ,ART+NQ,ART+PPQ,QN+D,SP,AS+MQ+PQ,Impact of AL,Impact of AS+SP,Impact of DHA-PPQ,Impact of AS+MQ,Impact of AS+AQ,Impact of CQ+PQ,Impact of AL+PQ,Impact of QN+CL,Impact of DHA-PPQ+PQ,Impact of ART+NQ,Impact of ART+PPQ,Impact of QN+D,Impact of SP,Impact of AS+MQ+PQ,IMPACT of P.falc,,1st Line (p.vivax.),% p. vivax,Estimated p. vivax DALY,Estimated p. vivax prevalence,p. vivax treatment coverage,CQ+PQ,AL,AL+PQ,CQ,AS+AQ,DHA-PPQ+PQ,CQ+PG,CQ+PQ,AL,AL+PQ,CQ,AS+AQ,DHA-PPQ+PQ,CQ+PG,CQ+PQ,AL,AL+PQ,CQ,AS+AQ,DHA-PPQ+PQ,CQ+PG,IMPACT of P.VIVAX,,Company,Drug(s),Final Impact,,used in column AB-AF,,,,,,,,,,,,,,,,,AFR,Angola,2006-2007,29.30%,1.60%,MIS 2006-2007,,REGION, receiving any antimalarial treatment  ,5 receiving ACT only 
,,,* = NO P.FALC. 1ST / 2ND LINE FOR THIS COUNTRY,"UNICEF global databases 2015 based on DHS, MICS, Malaria Indicator Surveys (MIS) and other national household surveys.","UNICEF global databases 2015 based on DHS, MICS, Malaria Indicator Surveys (MIS) and other national household surveys.",,,,,Col H * Col I,Col F * Col K,"if Col D includes AL, Col L * (1 / # of treatment regimens)","if Col D includes AS+SP, Col L * (1 / # of treatment regimens)",,"if Col D includes AS+MQ, Col L * (1 / # of treatment regimens)","if Col D includes AS+AQ, Col L * (1 / # of treatment regimens)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Col J * Col F* Col AF/(1-Col F* Col AF,Col J * Col F* Col AG/(1-Col F* Col AG,Col J * Col F* Col AH/(1-Col F* Col AH,Col J * Col F* Col AI/(1-Col F* Col AI,Col J * Col F* Col AJ/(1-Col F* Col AJ,,DO NOT include into website (average of global average),,,,,,,,Col AY + Col AZ+ Col BA+ Col BB+ Col BC,,* = NO P.FALC. 1ST / 2ND LINE FOR THIS COUNTRY,, Col G* ColBP, Col H* ColBP, Col Eif  Col AC = CQ+PQ,,,,,,,,,,,,,,,,,,,,,, Col BQ* ColBS* ColCA/(1- ColBS* ColCA),, ,,,,,,AL,AS+SP,DHA-PPQ ,AS+MQ,AS+ AQ,CQ+PQ,AL+PQ,QN+CL,DHA-PPQ+PQ,ART+NQ,art+ppq,QN+D,SP,AS+MQ+PQ,,EUR,Azerbaijan,2000,0.80%,0.00%,MICS 2000,,AFR,33.38%,11.04%
Angola,AFR,"23,369,131",AL,29.30%,1.60%,"4,207.70","1,682,870",100.00%,"4,207.70","1,682,870.00",269.26,269.26,,,,,,,,,,,,,,,,,,,98.80%,98.80%,,,98.80%,,,,,,42.20%,42.20%,42.20%,42.20%,42.20%,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,*,0%,0.00,0.00,29.30%,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,0.00,0.00,,,,0.00,0.00,Pfizer,D ,0.00,,2nd lookup Column #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,AFR,Central African Republic,2010,34.10%,3.00%,MICS 2010,,,,
Anguilla,AMR,"16,373",,2.80%,7.04%,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.20%,42.20%,42.20%,42.20%,42.20%,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,2.80%,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Artepharm,ART+PPQ,0.00,,Global Average,red is average of all black values,,,,,,42.20%,42.20%,42.20%,42.20%,42.20%,,,,,,AFR,Chad,2010,42.70%,0.90%,MICS 2010,,,,
Antigua and Barbuda,AMR,"94,661",,2.80%,7.04%,0.07,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.20%,42.20%,42.20%,42.20%,42.20%,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,2.80%,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,GlaxoSmithKline,AT+PG,0.00,,,,,,,,,,,,,,,,,,,AFR,Côte d'Ivoire,2006,36.00%,2.80%,MICS 2006,,,,
Argentina,AMR,"41,223,889",*,2.80%,7.04%,37.79,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.20%,42.20%,42.20%,42.20%,42.20%,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,CQ+PQ,100%,37.79,0.00,2.80%,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Imperial Chemical Industries ,PG,0,,used in column AY-BD,,,,,,,,,,,,,,,,,AFR,Democratic Republic of the Congo,2010,39.10%,1.60%,MICS 2010,,,,
Armenia,EUR,"2,877,311",*,22.38%,7.04%,1.00,0,0.00%,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.20%,42.20%,42.20%,42.20%,42.20%,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,CQ+PQ,,0.00,0.00,22.38%,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,F. Hoffmann-La Roche Ltd,SP,0.00,,,,CQ+PQ,AL,AL+PQ,CQ,AS+AQ,DHA-PPQ+PQ,CQ+PG,,,,,,,,,EMR,Djibouti,2009,0.90%,0.20%,MIS 2009,,,,
Aruba,AMR,"101,669",,2.80%,7.04%,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.20%,42.20%,42.20%,42.20%,42.20%,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,2.80%,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Taisho Pharmaceuticals,CL,275.0745107,,Regional Average Efficacy,AMR,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,0.00%,0.00%,,,,,
Australia,WPR,"22,031,750",,5.74%,0.12%,80.38,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.20%,42.20%,42.20%,42.20%,42.20%,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,5.74%,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Total,828.03,,,AFR,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,AFR,Eritrea,2010,1.50%,0.00%,EPHS 2010,,,,
Austria,EUR,"8,363,404",,22.38%,7.04%,2.24,,0.00%,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.20%,42.20%,42.20%,42.20%,42.20%,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,22.38%,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,P. falciparum,,,,,EMR,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,AFR,Ethiopia,2007,9.50%,4.40%,MIS 2007,,,,
Azerbaijan,EUR,"9,054,332",AS+SP,0.80%,7.04%,12.16,50,0.00%,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.20%,42.20%,42.20%,42.20%,42.20%,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,CQ+PQ,100%,12.16,50.00,0.80%,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Region,WHO Region Code,,,,EUR,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,AFR,Gambia,2010,30.20%,19.40%,MICS 2010,,,,
Bahamas,AMR,"360,832",*,2.80%,7.04%,0.50,1,0.00%,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.20%,42.20%,42.20%,42.20%,42.20%,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,*,,0.00,0.00,2.80%,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,0.00,0.00,,,,0.00,0.00,Africa,AFR,,,,WPR,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,AFR,Ghana,2008,43.00%,21.50%,DHS 2008,,,,
