Anguilla,AMR,"16,373",,IPT,,IPT,,,Bristol-Myers Squibb,Amk,"3,250.56",7.0,3.0,,0,0,34.00%,1,,1,0.00%,100.00%,2.42,0.00,2.42,0.00,0.00,65.90%,65.90%,0.00,0.00,0.53,0,2.20%,0,14.00%,,,19.40%,1,0,0.00%,0.00,0.00,0.00,0.00,0.00,0.05,0,0,38.00%,0.00,0.00,0.00,,,,,5.44%,11.74%,0.83%,2.16%,34%,5.19%,61.26%,41%,6.27%,53.22%,34.49%,5.34%,60.17%,100.00%,B
Antigua and Barbuda,AMR,"94,661",35.14,IPT,2HRZE/4HR,IPT,2HRZE/4HR,,"Kyorin Pharmaceutical Co., Ltd",Gfx,"2,437.92",13.0,8.0,86%,6,5,86.00%,7,6,1,83.33%,16.67%,6.45,5.37,1.07,23.60,4.72,65.90%,65.90%,21.31,6.52,1.41,0,2.20%,0,14.00%,,,19.40%,3,0,0.00%,6.20,0.00,0.00,0.00,0.00,0.14,0,0,38.00%,0.61,0.03,27.85,,,,,5.44%,11.74%,0.83%,2.16%,34%,5.19%,61.26%,41%,6.27%,,34.49%,5.34%,60.17%,100.00%,B
Argentina,AMR,"41,223,889","35,133.00",IPT,2HRZE/4HR,,2HRZE/4HR,,Bayer Healthcare,Mfx,"2,437.92","15,000.0","8,400.0",14%,"1,121",672,14.00%,"1,176",705,471,59.95%,40.05%,"6,770.44","4,058.64","2,711.80","16,975.26","11,342.10",65.90%,65.90%,"15,326.58","15,657.76","1,482.90",,2.20%,,15.00%,,,19.40%,"2,910",,0.00%,"6,202.23",0.00,0.00,0.00,0.00,146.66,262,100,38.00%,613.41,25.23,"31,009.56",2.90%,15.40%,0.30%,2.20%,2.90%,15.40%,0.30%,2.20%,37%,5.74%,57.20%,42%,6.43%,52.07%,37.63%,5.83%,56.55%,100.00%,B
Armenia,EUR,"2,877,311","6,661.82",IPT,2HRZE/4HR,IPT,2HRZE/4HR,,Overall Impact for TB Drugs,,"53,642,356.51","2,500.0","1,900.0",70%,"1,242",17,70.00%,"1,330",18,"1,312",1.37%,98.63%,"1,636.67",22.40,"1,614.27",78.55,"5,660.00",65.90%,65.90%,70.92,"7,813.62",239.63,40,9.40%,28,43.00%,425.53,65.12,13.86%,346,128,36.94%,840.18,90.55,24.05,3.72,62.78,23.70,31,12,38.00%,83.09,3.42,"7,978.51",16.20%,43.20%,2.00%,9.40%,16.20%,43.20%,2.00%,9.40%,24%,3.71%,72.34%,38%,5.96%,55.56%,26.56%,4.11%,69.33%,100.00%,A
Aruba,AMR,"101,669",,IPT,,,,,,Eto,"4,921.5748337",14.0,7.0,,,,34.00%,2,1,2,23.00%,77.00%,5.64,1.30,4.34,0.00,0.00,65.90%,65.90%,0.00,0.00,1.24,,2.20%,,14.00%,,,19.40%,3,,0.00%,0.00,0.00,0.00,0.00,0.00,0.12,0,0,38.00%,0.00,0.00,0.00,,,,,5.44%,11.74%,0.83%,2.16%,34%,5.19%,61.26%,41%,6.27%,53.22%,34.49%,5.34%,60.17%,100.00%,B
Australia,WPR,"22,031,750","2,280.60",IPT,2HRZE/4HR,,2HRZE/4HR,,E (= M44),R,"13,398,454.29","1,900.0","1,400.0",54%,686,24,54.00%,756,26,730,3.50%,96.50%,"1,361.87",47.65,"1,314.23",77.61,"2,140.87",65.90%,65.90%,70.08,"2,955.47",34.70,21,2.30%,11,4.20%,913.04,261.90,2.72%,52,31,59.91%,56.52,11.41,4.14,0.64,6.63,3.43,5,2,38.00%,5.59,0.23,"3,037.19",,,,,5.08%,13.36%,0.84%,2.79%,34%,5.26%,60.73%,40%,6.27%,53.24%,36.30%,5.62%,58.08%,100.00%,A
Austria,EUR,"8,363,404","1,806.32",IPT,,,,,Z (=M45+M49),Lfx,"7,359.50",970.0,760.0,,,,34.00%,258,59,199,23.00%,77.00%,730.75,168.07,562.68,399.47,"1,337.34",65.90%,65.90%,360.67,"1,846.20",26.61,5,2.50%,3,38.00%,200.00,7.89,3.85%,37,15,40.19%,63.25,7.56,2.49,0.39,4.68,2.63,3,1,38.00%,6.26,0.26,"2,214.69",6.30%,12.50%,1.10%,1.90%,6.30%,12.50%,1.10%,1.90%,33%,5.03%,62.45%,40%,6.20%,53.78%,32.98%,5.11%,61.92%,100.00%,A
Azerbaijan,EUR,"9,054,332","36,243.90",IPT,2HRZE/4HR,IPT,2HRZE/4HR,,Cs (=M53+M59+M65+M88),Ofx,"2,437.92","19,000.0","12,000.0",75%,"6,290",48,75.00%,"9,000",69,"8,931",0.76%,99.24%,"9,186.87",70.11,"9,116.76",211.74,"27,535.58",65.90%,65.90%,191.18,"38,012.84","2,559.95",93,13.00%,459,28.00%,715.38,"1,639.29",23.44%,"4,454",286,6.42%,"7,731.88",122.94,26.47,4.10,92.37,253.18,401,152,38.00%,764.69,31.45,"38,358.41",27.70%,55.80%,10.30%,22.30%,27.70%,55.80%,10.30%,22.30%,18%,2.84%,78.82%,28%,4.40%,67.19%,21.53%,3.33%,75.13%,100.00%,A
Bahamas,AMR,"360,832",257.69,IPT,2HRZE/4HR,IPT,2HRZE/4HR,,PAS (=M54+M60+M66),Amk,"6,626.81",49.0,36.0,100%,33,16,100.00%,36,17,19,48.48%,51.52%,29.02,14.07,14.95,100.70,107.00,65.90%,65.90%,90.92,147.71,6.36,0,3.70%,0,0.00%,,,19.40%,10,0,0.00%,45.49,0.00,0.00,0.00,0.00,0.63,1,0,38.00%,4.50,0.19,238.82,,,,,5.44%,11.74%,0.83%,2.16%,34%,5.19%,61.26%,41%,6.27%,53.22%,40.51%,6.27%,53.22%,100.00%,B
Bahrain,EMR,"1,240,862","1,121.14",IPT,2HRZE/4HR,IPT,2HRZE/4HR,,,Km,"3,250.56",310.0,280.0,65%,161,6,65.00%,182,7,175,3.73%,96.27%,225.68,8.41,217.27,33.68,869.97,65.90%,65.90%,30.41,"1,200.99",49.43,0,1.90%,0,100.00%,,,19.40%,60,0,0.00%,197.92,0.00,0.00,0.00,0.00,4.89,5,2,38.00%,19.57,0.81,"1,232.20",,,,,23.28%,32.34%,1.24%,1.45%,20%,3.12%,76.72%,40%,6.16%,54.06%,20.52%,3.18%,76.30%,100.00%,A
