Disease,"  Active TB/HIV,  Treatment Regimen",  Active TB/HIV- Treatment Regimen,  MDR-TB Treatment Regimen,,,  XDR-TB Treatment Regimen,total impact,Malaria (p.falc),,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,Malaria,HIV,,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,Worms,,,,Schistosomiasis,,LF,,,Total
Antigua and Barbuda,21.31,6.52,0,0,0,0.03,27.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64,0.09,2.95,0.02,0.17,2.41,0.25,0.47,0.63,0.69,0.39,0.01,11.72, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,39.58
Argentina,"15,326.58","15,657.76",0,0,0,25.23,"31,009.56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0.98,351.4,8.8,280.61,0.44,17.44,242.3,25.34,38.69,56.37,70.33,39.56,0.26,"1,131.55", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"32,142.09"
Armenia,70.92,"7,813.62",24.05,3.72,62.78,3.42,"7,978.51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.28,0.04,32.71,0,35.49,33.92,4.9,0.47,49.8,15.95,0,0,252.55, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"8,231.05"
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
Australia,70.08,"2,955.47",4.14,0.64,6.63,0.23,"3,037.19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.71,0.09,9.76,0,10.67,9.97,1.4,0.2,14.92,4.58,0,0,75.3, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"3,112.49"
Austria,360.67,"1,846.20",2.49,0.39,4.68,0.26,"2,214.69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.12,0.3,0,0.46,0.27,0,0.09,0.5,0,0,0,2.63, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"2,217.32"
Azerbaijan,191.18,"38,012.84",26.47,4.1,92.37,31.45,"38,358.41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0.1,128.52,0.05,53.08,0,57.58,54.76,7.89,0.74,80.91,25.71,0,0,409.24, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"38,767.74"
Bahamas,90.92,147.71,0,0,0,0.19,238.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,238.82
Bahrain,30.41,"1,200.99",0,0,0,0.81,"1,232.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.23,0.07,4.2,0,4.62,4.28,0.59,0.1,6.42,1.94,0,0,32.46, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"1,264.66"
Bangladesh,"1,741.59","1,180,990.99",40.88,6.33,97.13,"1,296.23","1,184,173.15","8,335.85",0,0,0,0,0,0,0,0,0,0,0,0,0,"8,335.85","1,193.11",0,0,0,0,0,0,"1,193.11","9,528.95",153.9,0.81,63.19,0,69.31,64.92,9.1,1.43,96.54,29.7,0,0,488.9,"5,673.12", , ,"1,441.49", ,290.41, , ,"5,673.12","1,441.49",290.41,"7,405.01",,  -   ,652.34,,652.34,"1,210,584.20"
Barbados,19.14,58.52,0,0,0,0.06,77.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.84,0.17,5.46,0.02,0.34,4.59,0.49,0.82,1.16,1.37,0.77,0.01,22.07, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,99.78
Belarus,589.99,"23,563.78",45.41,7.03,99.24,56.41,"24,361.86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307.4,0.12,127.33,0,138.06,129.29,18.38,1.73,194.76,60.27,0,0,977.35, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"25,339.21"
Belgium,167.17,"3,497.07",3.2,0.5,8.3,0.28,"3,676.51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,1.22,2.98,0,4.64,2.72,0,0.93,4.99,0,0,0,26.31, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"3,702.82"
Belize,80.89,481.95,0,0,0,0.39,563.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74,0,0,0,0,0,0,2.74,2.74,93.4,2.3,75.14,0.3,4.57,62.68,6.58,11.34,15.79,18.28,10.3,0.18,300.86, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,866.84
Benin,"10,743.57","88,294.70",4.91,0.76,11.49,1.41,"99,056.84","1,118,501.44",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,118,501.44",0,0,0,0,0,0,0,0,"1,118,501.44","1,364.45",25.53,553.15,0,625.38,550.37,69.83,25.68,854.34,230.23,0,0,"4,298.96", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,748.42,748.42,,8.39,8.39,"2,341,115.50"
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
Bhutan,962.64,"4,927.60",1.45,0.22,3.41,1.07,"5,896.39",14.85,0,0,0,0,0,0,0,0,0,0,0,0,0,14.85,17.68,0,0,0,0,0,0,17.68,32.53,5.51,0.03,2.26,0,2.47,2.36,0.34,0.05,3.44,1.09,0,0,17.55, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"5,961.32"
Bolivia,"3,280.66","68,180.76",0,0,0,47.24,"71,508.65",0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,3.24,40.07,0,0,0,0,0,0,40.07,43.32,766.63,20.74,600.71,0.85,41.22,516.93,58.83,88.26,128.34,163.64,92.27,0.5,"2,478.93", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"74,034.15"
"Bonaire, Saint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
Bosnia and Herzegovina,0,"7,524.55",0.86,0.13,1.23,0.67,"7,527.45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.06,0.14,0,0.22,0.13,0,0.04,0.24,0,0,0,1.27, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"7,528.72"
Botswana,"10,602.62","8,589.87",17.19,2.66,35.15,2.58,"19,250.08","5,123.15",0,0,0,0,0,0,0,0,0,0,0,0,0,"5,123.15",0,0,0,0,0,0,0,0,"5,123.15","2,937.76",23.18,"1,213.83",0,"1,339.08","1,177.36",155.25,31.32,"1,880.77",516.92,0,0,"9,275.47", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,88.3,88.3,,,  -   ,"38,860.16"
Brazil,"41,242.97","286,507.19",110.99,17.18,192.21,64.8,"328,135.35",32.61,0,0,30.34,0,0,0,0,0,0,0,0,0,0,62.95,286.24,0,0,0,0,0,0,286.24,349.19,"8,202.43",212.88,"6,484.39",3.2,422.26,"5,666.26",611.28,882.68,"1,310.82","1,697.39",955.25,1.9,"26,450.73", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"4,413.86","4,413.86",,  -   ,  -   ,"359,412.07"
