Disease,TB,,,,,,,,,,,,,,Malaria,,,,,,,,,,,,,,,HIV,,,,,,,,,,,Roundworm,,,Hookworm,,Whipworm,,,Schistosomiasis,Onchocerciasis,LF,,
Company,F. Hoffmann-La Roche Ltd,Pfizer Inc.,Sanofi,Merck,Merck,Pfizer Inc.,Pfizer Inc.,Pfizer Inc.,Bristol-Myers Squibb,Eli Lilly and Company,Daiichi Sankyo,Bayer Healthcare,"Kyorin Pharmaceutical Co., Ltd.",Daiichi Sankyo,Novartis,"Guilin Pharmaceutical Co., Ltd.",Artepharm,Sanofi,Sanofi,Sanofi,Sanofi,Sanofi,GlaxoSmithKline,Bayer Healthcare,Sanofi,Chongqing Holley Pharmaceutical Co. Ltd and Sigma Tau Industrie Farmaceutiche,Taisho Pharmaceuticals,Pfizer Inc.,"Guilin Pharmaceutical Co., Ltd.",Shire Pharmaceuticals,GlaxoSmithKline,GlaxoSmithKline,Bristol-Myers Squibb,Bristol-Myers Squibb,Merck,"Gilead Sciences, Inc.",Abbott Laboratories,Boehringer Ingelheim,"Gilead Sciences, Inc.",Bristol-Myers Squibb,GlaxoSmithKline,Johnson and Johnson,Merck,GlaxoSmithKline,Johnson and Johnson,GlaxoSmithKline,Johnson and Johnson,Merck,Bayer Healthcare,Merck,GlaxoSmithKline,Merck,Pfizer Inc.
 ,Isoniazid (H or INH),Ethambutol (E or EMB),RIfampicin (R or RMP),Pyrazinamide (Z or PZA),Streptomycin (S or STR),Ethionamide (Eto),p-aminosalicylic acid (PAS),Cycloserine (Cs),Amikacin (Amk),Capreomycin (Cm),Levofloxacin (Lfx),Moxifloxacin (Mfx),Gatifloxacin (Gfx),Ofloxacin (Ofx),Artemether-Lumefantrine (AL),Artemether (AM),Artemisinin + Piperaquine (ART + PPQ),Artesunate + Amodiaquine + Primaquine (AS + AQ + PQ),Artesunate/Amodiaquine (AS + AQ),Artesunate + Mefloquine + Primaquine (AS + MQ + PQ),Artesunate / Sulfadoxine-pyrimethamine (AS + SP),Artesunate + Sulfadoxine + Primaquine (AS + SP + PQ),Atovaquone + Proguanil (AT + PG),Chloroquine (CQ),Chloroquine + Primaquine (CQ + PQ),DHA-Piperaquine (DHA-PPQ),Clarithromycin (CL),Doxycycline (D),Artesunate (AS),Lamivudine (3TC),Abacavir (ABC),Zidovudine (AZT),Didanosine (ddl),Stavudine (d4t),Efavirenz (EFV),Emtricitabine (FTC),Lopinavir / Ritonavir (LPV/r),Nevirapine (NVP),Tenofovir (TDF),Atazanafir/Ritonavir (ATV/r),Albendazole (ALB),Mebendazole (MBD),Ivermectin (IVM),Albendazole (ALB),Mebendazole (MBD),Albendazole (ALB),Mebendazole (MBD),Ivermectin (IVM),Praziquantel (PZQ),Ivermectin (IVM),Albendazole (ALB),Ivermectin (IVM),Diethylcarbamazine (DEC)
Armenia,1320.319106,1320.319106,1320.319106,1328.226928,8.638605953,16.84476514,16.84476514,19.13738558,0.764206814,0.764206814,17.41792025,0.573155111,0.573155111,0.573155111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.904948637,0.014995037,3.889441859,0.014995037,2.854573004,2.462877631,0.925968131,0.220704606,6.169367112,2.107273191,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,530.2215255,530.2215255,530.2215255,530.5429623,0.44433931,1.489685066,1.489685066,1.639831219,0.050048718,0.050048718,1.527221604,0.037536538,0.037536538,0.037536538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.12723169,0.039187957,7.024461776,0.026621263,5.096811902,4.271886072,1.588870974,0.38067916,11.10214775,3.617340159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,356.1024547,356.1024547,356.1024547,356.2341966,0.146804881,0.293473863,0.293473863,0.531207728,0.079244621,0.079244621,0.352907329,0.059433466,0.059433466,0.059433466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,7421.763798,7421.763798,7421.763798,7496.604906,78.00404879,151.8177495,151.8177495,177.3563002,8.512850227,8.512850227,158.2023872,6.384637671,6.384637671,6.384637671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.99644517,0.058422467,15.2699045,0.058422467,11.19650869,9.615686325,3.612681124,0.859995486,24.21928536,8.222081849,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,125.2811491,125.2811491,125.2811491,125.2811491,0,0,0,0.028577592,0.009525864,0.009525864,0.007144398,0.007144398,0.007144398,0.007144398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.063817914,0.00838489,1.031934845,0.004029355,0.742164521,0.617799184,0.227465966,0.055395838,1.623834591,0.517925998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,118831.6599,118831.6599,118831.6599,118831.6599,0,0,0,395.1715028,131.7238343,131.7238343,98.7928757,98.7928757,98.7928757,98.7928757,1625.003682,0,0,0,0,0,0,0,0,118.8033845,237.606769,0,0,0,0,38.25315681,0.537703726,19.8482855,0.096991828,13.37690674,10.8049119,3.661530021,1.02871478,30.20593156,8.342436274,0,697.3646525,0,0,231.8590077,0,46.55236651,0,0,0,0,2.564762413,0,2.564762413
Barbados,48.32063764,48.32063764,48.32063764,48.32063764,0,0,0,0.110644874,0.036881625,0.036881625,0.027661218,0.027661218,0.027661218,0.027661218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.918123884,0.844693706,5.111800013,0.013514976,0.140516741,6.572243403,1.69268485,1.454336589,1.293934609,4.586845897,1.232094515,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,4294.230077,4294.230077,4294.230077,4553.464985,268.9565749,375.7719285,375.7719285,411.7754711,12.00118085,12.00118085,384.7728141,9.000885637,9.000885637,9.000885637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.511925,0.352826315,91.81741124,0.352826315,67.36036285,58.00237234,21.80059082,5.193347633,145.6352105,49.61406807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
